"precio","metros2","anyo","banyo","Sp","Sm","calefaccion","cocina","situacion"
1386600,50,2002,0,0,"0","0","0","2"
844000,54,2002,0,0,"0","0","0","2"
1473200,70,2002,0,0,"0","0","0","2"
2590200,55,1923,0,0,"0","0","0","2"
790000,46,1987,0,0,"0","1","0","2"
2571200,94,2002,0,0,"0","0","0","2"
2350800,93,2002,0,0,"0","0","0","2"
1720000,65,1997,0,0,"0","0","0","2"
1419200,36,2002,0,0,"0","0","0","2"
1314800,57,2015,0,0,"0","0","0","2"
2620400,76,2015,0,0,"0","0","0","2"
2475600,75,2015,0,0,"0","0","0","2"
3022400,83,2015,0,0,"0","0","0","2"
1324400,100,1987,0,0,"0","0","0","2"
1055000,50,1987,0,0,"0","0","1","2"
1230200,63,2002,0,0,"0","0","0","2"
1704600,93,2002,0,0,"0","0","1","2"
1596600,83,2002,0,0,"0","0","1","2"
1034400,79,2002,0,0,"0","0","0","2"
1186200,79,2002,0,0,"0","0","0","2"
5739800,90,2015,1,0,"0","0","0","3"
3247200,60,2015,1,0,"0","0","1","3"
1675600,76,1987,0,1,"0","0","1","1"
1500400,75,1987,0,1,"0","0","0","1"
1619400,79,1987,0,1,"0","0","0","1"
1530800,93,2002,0,1,"0","0","1","1"
2331200,90,1991,0,0,"0","0","0","2"
845600,50,1987,0,0,"0","1","0","2"
981400,63,1923,0,0,"0","1","0","2"
1626600,120,1923,0,0,"0","1","0","2"
960600,40,1989,0,0,"0","0","0","2"
2908200,74,1987,0,0,"0","0","0","2"
1074000,76,1987,0,0,"0","0","0","2"
1518400,76,1987,0,0,"0","0","0","2"
1400000,36,1995,0,0,"0","0","0","2"
2255600,62,2002,0,0,"0","0","0","2"
2180800,99,1923,0,0,"0","0","0","2"
1341800,59,1987,0,0,"0","1","0","2"
699800,33,1923,0,0,"1","1","0","2"
2349200,92,1964,0,0,"0","1","0","2"
1347600,69,1964,0,0,"0","1","0","2"
1132800,70,1923,0,0,"0","1","0","2"
535600,51,1987,0,0,"0","1","0","2"
480800,68,1923,0,0,"0","1","0","2"
2060000,56,2002,0,0,"0","0","0","2"
905400,32,2002,0,0,"0","0","0","2"
1800000,55,2002,0,0,"0","0","0","2"
1850800,45,1986,0,0,"0","0","0","2"
1390400,55,2015,0,0,"0","0","0","2"
1857400,54,2011,0,0,"0","0","0","2"
2009000,50,2011,0,0,"0","0","0","2"
2600400,75,1986,0,0,"0","0","0","2"
1570000,68,2002,0,0,"0","0","0","2"
1052800,68,2002,0,0,"0","0","0","2"
1640000,73,1985,0,1,"0","1","0","1"
3379400,60,1994,0,0,"0","1","0","2"
1328200,50,1992,0,0,"0","0","0","2"
1531400,82,1992,0,0,"0","0","0","2"
1472000,62,1987,0,0,"0","0","0","2"
478600,45,1964,0,0,"0","1","0","2"
979400,39,1987,1,0,"0","0","0","3"
843200,40,1987,1,0,"0","0","0","3"
1599200,52,1987,1,0,"0","0","0","3"
1132400,56,1987,1,0,"0","0","0","3"
842600,52,1987,1,0,"0","0","0","3"
2156000,80,2011,0,0,"0","0","0","2"
954600,30,2011,0,0,"0","0","0","2"
899800,35,2011,0,0,"0","0","0","2"
1359000,69,1987,1,0,"0","0","0","3"
1166800,67,2002,1,0,"0","0","0","3"
970200,67,2002,1,0,"0","0","0","3"
2407200,89,1964,1,0,"0","0","0","3"
1440400,95,1964,1,0,"0","0","0","3"
1411600,84,1964,1,0,"0","0","0","3"
1523400,60,1964,1,0,"0","1","0","3"
2060000,60,2018,0,0,"0","0","0","2"
1548000,60,2018,0,0,"0","0","0","2"
1553200,68,2002,1,0,"0","0","0","3"
3441600,100,2002,1,0,"0","0","0","3"
1940000,80,2002,1,0,"0","0","0","3"
1600000,68,2002,1,0,"0","0","0","3"
1316800,55,1969,1,0,"0","1","0","3"
1911600,49,2002,1,0,"0","0","0","3"
2328400,55,2002,1,0,"0","0","0","3"
1530000,62,2002,1,0,"0","0","0","3"
675400,35,1987,1,0,"0","1","0","3"
751400,35,1987,1,0,"0","1","0","3"
695800,45,1987,1,0,"0","1","0","3"
886800,35,1987,1,0,"0","1","0","3"
733000,80,1923,0,0,"0","1","0","2"
2697000,106,1923,0,0,"0","0","0","2"
1705000,112,1923,0,0,"0","1","0","2"
1139000,36,2002,1,0,"0","0","0","3"
1363000,73,2002,1,0,"0","0","0","3"
1333000,30,2002,1,0,"0","0","0","3"
1359600,35,2002,1,0,"0","0","0","3"
1504000,40,2002,1,0,"0","0","0","3"
1599600,64,1987,1,0,"0","0","0","3"
1362600,72,1987,1,0,"0","0","0","3"
1129000,41,1987,1,0,"0","0","0","3"
2029200,71,1987,1,0,"0","0","0","3"
1617600,55,1987,1,0,"0","0","0","3"
1967200,78,2002,0,0,"0","0","0","2"
2817800,74,2002,0,0,"0","0","0","2"
1370800,86,2002,0,0,"0","0","0","2"
2109800,86,1987,0,0,"0","0","0","2"
1322400,55,2011,0,0,"0","0","0","2"
2031200,90,2011,0,0,"0","0","0","2"
1739600,82,2011,0,0,"0","0","0","2"
1168400,44,2002,0,0,"0","0","0","2"
1013200,37,2002,0,0,"0","0","0","2"
895200,77,2000,0,0,"0","0","0","2"
1218600,56,2002,0,0,"0","0","0","2"
771000,77,2000,0,0,"0","0","0","2"
1440000,83,2002,0,0,"0","0","0","2"
2330200,55,2018,0,0,"0","0","0","2"
1107000,71,2018,0,0,"0","0","0","2"
1330200,70,1987,0,0,"0","0","0","2"
1411200,50,1987,0,0,"0","0","0","2"
1951000,60,2002,0,0,"0","0","0","2"
1748000,55,2003,0,0,"0","0","0","2"
2772800,60,2003,0,0,"0","0","0","2"
1407600,34,2002,0,0,"0","0","0","2"
1043800,34,2002,0,0,"0","0","0","2"
1644400,83,2011,0,0,"0","0","0","2"
2123600,77,2011,0,0,"0","0","0","2"
1731000,83,2009,0,0,"0","0","0","2"
1082600,49,2011,0,0,"0","0","0","2"
1488200,84,2002,0,0,"0","0","0","2"
1579400,85,2009,0,0,"0","0","0","2"
1630000,93,1987,0,0,"0","0","0","2"
1142600,61,1987,0,1,"0","0","0","1"
555400,46,1946,0,0,"0","1","0","2"
813200,57,1923,0,0,"1","1","0","2"
680400,68,1923,0,0,"0","1","0","2"
1287800,84,1923,0,0,"0","0","0","2"
1843400,86,1923,0,0,"0","0","0","2"
764000,70,1987,0,0,"0","1","0","2"
2570200,72,2002,0,0,"0","0","0","2"
1406000,55,1987,0,0,"0","0","0","2"
899600,43,1988,0,0,"0","0","0","2"
764000,56,1987,0,0,"0","0","0","2"
1783800,56,2002,0,0,"0","0","0","2"
1510000,64,1987,0,0,"0","1","0","2"
2821400,106,1964,0,0,"0","0","0","2"
457400,37,1987,0,0,"0","1","0","2"
1127000,51,1923,0,0,"0","0","0","2"
2469000,85,1923,0,0,"0","0","1","2"
1271800,65,1964,0,0,"0","1","0","2"
1066200,44,1965,0,0,"0","0","0","2"
1070000,44,1965,0,0,"0","0","0","2"
860000,50,1987,0,1,"0","1","0","1"
873400,60,1987,0,1,"0","1","0","1"
946400,80,1987,0,1,"0","1","0","1"
900800,80,1923,0,1,"1","0","0","1"
2189600,56,1923,0,0,"0","0","0","2"
1399200,80,1964,0,0,"0","0","0","2"
1082400,31,1987,0,0,"0","0","0","2"
1350000,35,2002,0,0,"0","0","0","2"
1424200,80,2002,0,0,"0","0","0","2"
1361800,74,2002,0,0,"0","0","0","2"
1517200,67,1996,0,0,"0","0","0","2"
2078200,61,2018,0,0,"0","0","0","2"
1164000,110,1923,0,0,"0","0","0","2"
1839000,63,1987,1,0,"0","0","0","3"
572000,55,1987,0,0,"0","1","0","2"
1030000,76,1987,0,0,"0","0","0","2"
838000,76,1987,0,0,"0","0","0","2"
1077200,30,1987,1,0,"0","0","0","3"
950600,36,1988,1,0,"0","0","0","3"
1640000,59,1987,0,1,"0","0","0","1"
1593000,42,1923,0,1,"0","1","0","1"
2811200,119,1964,0,0,"0","0","1","2"
1291800,43,1987,0,0,"0","1","0","2"
3253800,66,1987,0,0,"0","0","0","2"
1153200,71,1923,0,1,"0","1","0","1"
707200,48,1964,0,1,"0","0","0","1"
